Protein.IDs,Majority.protein.IDs,gene,rectum
ENSP00000263672.6;ENSP00000478550.1;ENSP00000436759.1;ENSP00000433439.1,ENSP00000263672.6;ENSP00000478550.1;ENSP00000436759.1;ENSP00000433439.1,SPCS2; SPCS2; SPCS2; SPCS2,249550000
ENSP00000263674.3;ENSP00000441135.1,ENSP00000263674.3,ARHGEF17; ARHGEF17,14823000
ENSP00000263681.2;ENSP00000432951.1;ENSP00000436018.1;ENSP00000432233.1;ENSP00000431239.1;ENSP00000437231.1;ENSP00000436781.1;ENSP00000432969.1,ENSP00000263681.2;ENSP00000432951.1;ENSP00000436018.1,POLD3; POLD3; POLD3; POLD3; POLD3; POLD3; POLD3; POLD3,9185900
ENSP00000263686.5;ENSP00000356760.1;ENSP00000391694.2;ENSP00000356762.1;ENSP00000399368.2;ENSP00000356769.2,ENSP00000263686.5;ENSP00000356760.1;ENSP00000391694.2;ENSP00000356762.1;ENSP00000399368.2;ENSP00000356769.2,SELP; SELP; SELP; SELP; SELP; SELP,1178200
ENSP00000263688.3;ENSP00000477484.2;ENSP00000356696.4;ENSP00000476704.1;ENSP00000479061.1,ENSP00000263688.3;ENSP00000477484.2;ENSP00000356696.4;ENSP00000476704.1;ENSP00000479061.1,SUCO; SUCO; SUCO; SUCO; SUCO,0
ENSP00000263694.4;ENSP00000362825.3,ENSP00000263694.4,SNRNP40; SNRNP40,134010000
ENSP00000263697.4;ENSP00000474440.1,ENSP00000263697.4,DNAJC8; DNAJC8,163120000
ENSP00000263702.6;ENSP00000362896.3;ENSP00000436831.1,ENSP00000263702.6;ENSP00000362896.3,MECR; MECR; MECR,74039000
ENSP00000263707.5,ENSP00000263707.5,TFCP2L1,1057100
ENSP00000263708.2;ENSP00000394706.1;ENSP00000411364.1;ENSP00000395603.1;ENSP00000438445.1;ENSP00000387457.1,ENSP00000263708.2,PTPN4; PTPN4; PTPN4; PTPN4; PTPN4; PTPN4,0
ENSP00000263710.4;ENSP00000392886.1;ENSP00000402101.1,ENSP00000263710.4,CLASP1; CLASP1; CLASP1,17896000
ENSP00000390439.1;ENSP00000263713.5;ENSP00000393856.2,ENSP00000390439.1;ENSP00000263713.5;ENSP00000393856.2,EPB41L5; EPB41L5; EPB41L5,11941000
ENSP00000263733.4,ENSP00000263733.4,FAM20B,5836800
ENSP00000263734.3,ENSP00000263734.3,EPAS1,0
ENSP00000263735.4;ENSP00000410675.1;ENSP00000385476.1;ENSP00000389028.1,ENSP00000263735.4;ENSP00000410675.1;ENSP00000385476.1,EPCAM; EPCAM; EPCAM; EPCAM,91413000
ENSP00000263736.4,ENSP00000263736.4,SRBD1,17932000
ENSP00000263754.4;ENSP00000467324.1,ENSP00000263754.4,KAT2B; KAT2A,263650
ENSP00000263773.5;ENSP00000440181.2,ENSP00000263773.5,FNBP4; FNBP4,5226400
ENSP00000263774.4;ENSP00000434970.2;ENSP00000432099.1;ENSP00000433405.1;ENSP00000431588.1,ENSP00000263774.4,NDUFS3; NDUFS3; NDUFS3; NDUFS3; NDUFS3,466390000
ENSP00000263776.8;ENSP00000434156.1;ENSP00000435919.1,ENSP00000263776.8,ACCS; ACCS; ACCS,127910
ENSP00000418920.1;ENSP00000263780.4;ENSP00000480032.1;ENSP00000419998.1,ENSP00000418920.1;ENSP00000263780.4,CHMP2B; CHMP2B; CHMP2B; CHMP2B,157090000
ENSP00000263791.5;ENSP00000453575.1;ENSP00000453148.1;ENSP00000453968.1,ENSP00000263791.5;ENSP00000453575.1,EIF2AK4; EIF2AK4; EIF2AK4; EIF2AK4,2928600
ENSP00000454050.1;ENSP00000263798.3;ENSP00000453835.1,ENSP00000454050.1;ENSP00000263798.3,TYRO3; TYRO3; TYRO3,0
ENSP00000263801.3;ENSP00000371475.4;ENSP00000371470.3;ENSP00000393497.2;ENSP00000388028.1;ENSP00000392048.1;ENSP00000413010.1;ENSP00000471624.1;ENSP00000416212.1;ENSP00000398508.1,ENSP00000263801.3;ENSP00000371475.4;ENSP00000371470.3;ENSP00000393497.2;ENSP00000388028.1,TP53BP1; TP53BP1; TP53BP1; TP53BP1; TP53BP1; TP53BP1; TP53BP1; TP53BP1; TP53BP1; TP53BP1,31769000
ENSP00000263805.4;ENSP00000455049.1;ENSP00000457637.1;ENSP00000455674.1;ENSP00000456604.1;ENSP00000475881.1;ENSP00000456191.1;ENSP00000456845.1,ENSP00000263805.4;ENSP00000455049.1,ZNF106; ZNF106; ZNF106; ZNF106; ZNF106; ZNF106; ZNF106; ZNF106,227320
ENSP00000263816.3;ENSP00000409813.1,ENSP00000263816.3,NA; LRP2,4426000
ENSP00000263817.6;ENSP00000480206.1;ENSP00000416058.1,ENSP00000263817.6,NA; ABCB11; ABCB11,36453000
ENSP00000479081.1;ENSP00000355497.1;ENSP00000263826.5;ENSP00000483054.1;ENSP00000479922.1;ENSP00000355498.1;ENSP00000336943.5;ENSP00000487523.1;ENSP00000447820.1,ENSP00000479081.1;ENSP00000355497.1;ENSP00000263826.5;ENSP00000483054.1;ENSP00000479922.1;ENSP00000355498.1;ENSP00000336943.5,AKT3; AKT3; AKT3; AKT3; AKT3; AKT3; AKT3; AKT3; AKT3,223960000
ENSP00000263847.1;ENSP00000432399.1,ENSP00000263847.1,OSBP; OSBP,63256000
ENSP00000263849.3;ENSP00000427797.1,ENSP00000263849.3,ZC2HC1A; ZC2HC1A,4180100
ENSP00000263856.4;ENSP00000387045.1;ENSP00000474823.1;ENSP00000386590.2,ENSP00000263856.4;ENSP00000387045.1;ENSP00000474823.1;ENSP00000386590.2,CHMP3; CHMP3; RNF103-CHMP3; CHMP3,96995000
ENSP00000263857.6;ENSP00000386300.1,ENSP00000263857.6;ENSP00000386300.1,POLR1A; POLR1A,3961600
ENSP00000387116.3;ENSP00000263863.4;ENSP00000436423.1;ENSP00000434467.1,ENSP00000387116.3;ENSP00000263863.4;ENSP00000436423.1;ENSP00000434467.1,GNLY; GNLY; GNLY; GNLY,0
ENSP00000263864.5;ENSP00000387094.1;ENSP00000407984.1,ENSP00000263864.5;ENSP00000387094.1,VAMP8; VAMP8; VAMP8,89141000
ENSP00000386965.1;ENSP00000386315.1;ENSP00000263867.4;ENSP00000387063.1;ENSP00000403330.1;ENSP00000398232.2;ENSP00000391923.1;ENSP00000397381.1,ENSP00000386965.1;ENSP00000386315.1;ENSP00000263867.4;ENSP00000387063.1;ENSP00000403330.1;ENSP00000398232.2;ENSP00000391923.1,CAPG; CAPG; CAPG; CAPG; CAPG; CAPG; CAPG; CAPG,1.25e+09
ENSP00000263881.3;ENSP00000399228.1;ENSP00000476533.1;ENSP00000405137.1;ENSP00000410183.1,ENSP00000263881.3,MAP4K3; MAP4K3; MAP4K3; MAP4K3; MAP4K3,1748300
ENSP00000364886.2;ENSP00000263895.4;ENSP00000386576.1;ENSP00000411950.1;ENSP00000395997.1,ENSP00000364886.2;ENSP00000263895.4;ENSP00000386576.1,RND3; RND3; RND3; RND3; RND3,0
ENSP00000263897.4;ENSP00000470065.1;ENSP00000473239.1,ENSP00000263897.4;ENSP00000470065.1;ENSP00000473239.1,USE1; USE1; USE1,14027000
ENSP00000263904.4,ENSP00000263904.4,STAM2,56602000
ENSP00000263915.3;ENSP00000416786.2;ENSP00000401702.1,ENSP00000263915.3;ENSP00000416786.2,GRB14; GRB14; GRB14,5034800
ENSP00000263918.4,ENSP00000263918.4,STRN,57960000
ENSP00000263921.3;ENSP00000421032.1;ENSP00000425238.1,ENSP00000263921.3;ENSP00000421032.1;ENSP00000425238.1,CHIC2; CHIC2; CHIC2,12796000
ENSP00000263923.4,ENSP00000263923.4,KDR,0
ENSP00000263925.7;ENSP00000302879.2;ENSP00000426445.1,ENSP00000263925.7;ENSP00000302879.2,LNX1; LNX1; LNX1,879570
ENSP00000263934.6,ENSP00000263934.6,KIF1B,0
ENSP00000356293.3;ENSP00000295597.3;ENSP00000263946.3;ENSP00000482213.1,ENSP00000356293.3;ENSP00000295597.3;ENSP00000263946.3;ENSP00000482213.1,PKP1; PKP1; PKP1; NA,58708000
ENSP00000386853.1;ENSP00000263955.4;ENSP00000399755.1;ENSP00000475843.1,ENSP00000386853.1;ENSP00000263955.4,STK17B; STK17B; STK17B; STK17B,1024000
ENSP00000263956.3;ENSP00000386465.3;ENSP00000394065.1;ENSP00000398385.1;ENSP00000406685.1;ENSP00000438797.1,ENSP00000263956.3;ENSP00000386465.3,GTF3C3; GTF3C3; GTF3C3; GTF3C3; GTF3C3; GTF3C3,7061200
ENSP00000387223.1;ENSP00000263960.2;ENSP00000386785.1,ENSP00000387223.1;ENSP00000263960.2;ENSP00000386785.1,COQ10B; COQ10B; COQ10B,18729000
ENSP00000263962.8;ENSP00000418054.1;ENSP00000420555.1;ENSP00000419348.1;ENSP00000419975.1;ENSP00000418665.1;ENSP00000417270.1;ENSP00000376420.3;ENSP00000418746.1;ENSP00000419790.1,ENSP00000263962.8;ENSP00000418054.1;ENSP00000420555.1;ENSP00000419348.1;ENSP00000419975.1;ENSP00000418665.1;ENSP00000417270.1;ENSP00000376420.3,PEX5L; PEX5L; PEX5L; PEX5L; PEX5L; PEX5L; PEX5L; PEX5L; PEX5L; PEX5L,0
ENSP00000263966.3;ENSP00000417146.1;ENSP00000420057.1;ENSP00000418651.1,ENSP00000263966.3;ENSP00000417146.1,USP13; USP13; USP13; USP13,3504200
ENSP00000263967.3;ENSP00000417479.1,ENSP00000263967.3,PIK3CA; PIK3CA,3064900
ENSP00000420617.1;ENSP00000263969.5;ENSP00000419926.1;ENSP00000349963.4;ENSP00000419134.2;ENSP00000420148.1,ENSP00000420617.1;ENSP00000263969.5;ENSP00000419926.1;ENSP00000349963.4,MFN1; MFN1; MFN1; MFN1; MFN1; MFN1,5629400
ENSP00000362930.4;ENSP00000263974.4,ENSP00000362930.4;ENSP00000263974.4,TAF12; TAF12,0
ENSP00000263980.3;ENSP00000363199.3;ENSP00000363197.2,ENSP00000263980.3,SLC9A1; SLC9A1; SLC9A1,15976000
ENSP00000263985.6;ENSP00000426859.1;ENSP00000420831.1;ENSP00000425294.1;ENSP00000421005.1;ENSP00000423999.1;ENSP00000421240.1,ENSP00000263985.6;ENSP00000426859.1;ENSP00000420831.1,GATB; GATB; GATB; GATB; GATB; GATB; GATB,17700000
ENSP00000403783.1;ENSP00000384143.3;ENSP00000385524.1;ENSP00000263991.5;ENSP00000388442.1;ENSP00000384829.1;ENSP00000392192.1;ENSP00000396186.1;ENSP00000399927.1;ENSP00000392441.1;ENSP00000399609.1,ENSP00000403783.1;ENSP00000384143.3;ENSP00000385524.1;ENSP00000263991.5,EHBP1; EHBP1; EHBP1; EHBP1; EHBP1; EHBP1; EHBP1; EHBP1; EHBP1; EHBP1; EHBP1,17833000
ENSP00000263997.5;ENSP00000481459.1;ENSP00000483575.1;ENSP00000461470.1,ENSP00000263997.5;ENSP00000481459.1,SLC7A6OS; NA; SLC7A6OS; SLC7A6OS,1636600
ENSP00000264005.5;ENSP00000464651.1;ENSP00000463220.1,ENSP00000264005.5;ENSP00000464651.1,LCAT; LCAT; LCAT,764230
ENSP00000264010.4;ENSP00000384707.1;ENSP00000476718.1;ENSP00000437999.1;ENSP00000439998.1;ENSP00000392034.3,ENSP00000264010.4;ENSP00000384707.1,CTCF; CTCF; CTCFL; CTCFL; CTCFL; CTCFL,10189000
ENSP00000264012.4;ENSP00000398485.2;ENSP00000464058.1;ENSP00000463415.1,ENSP00000264012.4;ENSP00000398485.2,CDH3; CDH3; CDH3; CDH3,1144800
ENSP00000434175.1;ENSP00000435826.1;ENSP00000432384.1;ENSP00000264021.3;ENSP00000264020.2;ENSP00000435278.1;ENSP00000432982.1,ENSP00000434175.1;ENSP00000435826.1;ENSP00000432384.1;ENSP00000264021.3;ENSP00000264020.2,IFT46; IFT46; IFT46; IFT46; IFT46; IFT46; IFT46,16376000
ENSP00000264025.3,ENSP00000264025.3,NECTIN1,10787000
ENSP00000264028.4;ENSP00000352385.4;ENSP00000376599.3;ENSP00000482114.1;ENSP00000431676.1,ENSP00000264028.4;ENSP00000352385.4;ENSP00000376599.3,ARCN1; ARCN1; ARCN1; ARCN1; ARCN1,402880000
ENSP00000381020.2;ENSP00000264029.5,ENSP00000381020.2;ENSP00000264029.5,TREH; TREH,120060
ENSP00000264031.2,ENSP00000264031.2,UPK2,0
ENSP00000264033.3;ENSP00000489218.1;ENSP00000489324.1;ENSP00000489556.1,ENSP00000264033.3;ENSP00000489218.1;ENSP00000489324.1,CBL; CBL; CBL; CBL,14944000
ENSP00000264036.4,ENSP00000264036.4,MCAM,901090000
ENSP00000264039.2;ENSP00000415077.2;ENSP00000392629.2;ENSP00000389276.2;ENSP00000410251.1;ENSP00000390242.1,ENSP00000264039.2;ENSP00000415077.2;ENSP00000392629.2,GPC1; GPC1; GPC1; GPC1; GPC1; GPC1,41143000
ENSP00000264042.3;ENSP00000486597.1;ENSP00000362384.4;ENSP00000415474.1;ENSP00000393376.1;ENSP00000403437.1;ENSP00000388167.1;ENSP00000411353.1,ENSP00000264042.3;ENSP00000486597.1;ENSP00000362384.4,FARP2; FARP2; FARP2; FARP2; FARP2; FARP2; FARP2; FARP2,18467000
ENSP00000264051.3;ENSP00000362653.4;ENSP00000387033.1;ENSP00000387591.2;ENSP00000401063.1;ENSP00000405053.1,ENSP00000264051.3;ENSP00000362653.4,NGEF; NGEF; NGEF; NGEF; NGEF; NGEF,2089400
ENSP00000264052.5,ENSP00000264052.5,SP100,0
ENSP00000486362.1;ENSP00000479051.1;ENSP00000487423.1;ENSP00000386455.3;ENSP00000487220.1;ENSP00000264057.2;ENSP00000486226.1;ENSP00000390970.1;ENSP00000487483.1;ENSP00000407938.1;ENSP00000487210.1;ENSP00000395530.1,ENSP00000486362.1;ENSP00000479051.1;ENSP00000487423.1;ENSP00000386455.3;ENSP00000487220.1;ENSP00000264057.2,NA; NA; DGKD; DGKD; DGKD; DGKD; DGKD; DGKD; DGKD; DGKD; DGKD; DGKD,0
ENSP00000264059.3;ENSP00000395119.1,ENSP00000264059.3,EFHD1; EFHD1,54480000
ENSP00000264065.6;ENSP00000479930.1;ENSP00000441560.1;ENSP00000389483.1;ENSP00000481044.1;ENSP00000400096.1,ENSP00000264065.6;ENSP00000479930.1,DNAJC10; DNAJC10; DNAJC10; DNAJC10; DNAJC10; DNAJC10,11829000
ENSP00000443590.1;ENSP00000264071.1;ENSP00000469660.1;ENSP00000472375.1;ENSP00000469560.1;ENSP00000468843.1;ENSP00000470627.1;ENSP00000471880.1,ENSP00000443590.1;ENSP00000264071.1,NA; TUBB4A; TUBB4A; TUBB4A; TUBB4A; TUBB4A; TUBB4A; TUBB4A,292040000
ENSP00000353178.4;ENSP00000471974.1;ENSP00000264072.6;ENSP00000472067.1,ENSP00000353178.4;ENSP00000471974.1;ENSP00000264072.6;ENSP00000472067.1,FCER2; FCER2; FCER2; FCER2,0
ENSP00000472197.1;ENSP00000385269.1;ENSP00000264073.6;ENSP00000470727.1;ENSP00000471011.1,ENSP00000472197.1;ENSP00000385269.1;ENSP00000264073.6;ENSP00000470727.1,ELAVL1; ELAVL1; NA; ELAVL1; ELAVL1,164830000
ENSP00000264079.5;ENSP00000469074.1,ENSP00000264079.5;ENSP00000469074.1,MCOLN1; MCOLN1,124530
ENSP00000264080.5;ENSP00000471846.1;ENSP00000469797.1;ENSP00000470844.1;ENSP00000401284.2;ENSP00000470197.1;ENSP00000472048.1;ENSP00000470823.1;ENSP00000473228.1,ENSP00000264080.5;ENSP00000471846.1;ENSP00000469797.1,GPR108; GPR108; GPR108; GPR108; GPR108; GPR108; GPR108; GPR108; GPR108,0
ENSP00000264093.4;ENSP00000306964.3,ENSP00000264093.4;ENSP00000306964.3,DGUOK; DGUOK,11536000
ENSP00000264094.3;ENSP00000386696.1;ENSP00000377512.2;ENSP00000387103.1;ENSP00000386545.1;ENSP00000404026.1;ENSP00000398260.1,ENSP00000264094.3;ENSP00000386696.1;ENSP00000377512.2;ENSP00000387103.1;ENSP00000386545.1,LOXL3; LOXL3; LOXL3; LOXL3; LOXL3; LOXL3; LOXL3,4224200
ENSP00000264107.7;ENSP00000386614.1,ENSP00000264107.7;ENSP00000386614.1,ITGA6; ITGA6,350050
ENSP00000264108.4;ENSP00000403466.2;ENSP00000407921.1,ENSP00000264108.4,HAT1; HAT1; HAT1,24703000
ENSP00000264122.4;ENSP00000384938.1;ENSP00000384816.1;ENSP00000377598.2;ENSP00000384170.1;ENSP00000400949.1;ENSP00000393906.1;ENSP00000409750.1,ENSP00000264122.4;ENSP00000384938.1;ENSP00000384816.1,NA; CBLB; CBLB; CBLB; NA; CBLB; CBLB; CBLB,1207200
ENSP00000385510.1;ENSP00000264126.3;ENSP00000408664.1;ENSP00000390629.1;ENSP00000401948.1,ENSP00000385510.1;ENSP00000264126.3,GPSM2; GPSM2; GPSM2; GPSM2; GPSM2,886310
ENSP00000264144.4;ENSP00000432063.1,ENSP00000264144.4;ENSP00000432063.1,LAMC2; LAMC2,1155800
ENSP00000429697.1;ENSP00000264151.5;ENSP00000428859.1;ENSP00000430062.1;ENSP00000429385.1;ENSP00000430879.1,ENSP00000429697.1;ENSP00000264151.5;ENSP00000428859.1,OSGEPL1; OSGEPL1; OSGEPL1; OSGEPL1; OSGEPL1; OSGEPL1,2793100
ENSP00000264156.2,ENSP00000264156.2,MCM6,28447000
ENSP00000295238.6;ENSP00000264157.5;ENSP00000404653.1;ENSP00000402512.1;ENSP00000400298.1,ENSP00000295238.6;ENSP00000264157.5;ENSP00000404653.1;ENSP00000402512.1;ENSP00000400298.1,CCNT2; CCNT2; CCNT2; CCNT2; CCNT2,1366900
ENSP00000264158.7;ENSP00000444306.1,ENSP00000264158.7;ENSP00000444306.1,RAB3GAP1; RAB3GAP1,31914000
ENSP00000383979.1;ENSP00000264159.6;ENSP00000441320.2;ENSP00000480120.1;ENSP00000384245.2,ENSP00000383979.1;ENSP00000264159.6;ENSP00000441320.2;ENSP00000480120.1,ZRANB3; ZRANB3; ZRANB3; ZRANB3; ZRANB3,0
ENSP00000264160.4;ENSP00000387750.1,ENSP00000264160.4,R3HDM1; R3HDM1,273610
ENSP00000264161.4;ENSP00000387508.1;ENSP00000397616.1;ENSP00000389867.1;ENSP00000404445.1;ENSP00000388801.1,ENSP00000264161.4,DARS1; DARS1; DARS1; DARS1; DARS1; DARS1,212710000
ENSP00000264162.2;ENSP00000391231.1,ENSP00000264162.2;ENSP00000391231.1,LCT; LCT,2206000
ENSP00000264167.4;ENSP00000386688.1,ENSP00000264167.4,AGPS; AGPS,71385000
ENSP00000441953.1;ENSP00000376597.4;ENSP00000264169.2;ENSP00000438326.1;ENSP00000441502.1;ENSP00000403105.1;ENSP00000391484.1;ENSP00000413939.1,ENSP00000441953.1;ENSP00000376597.4;ENSP00000264169.2;ENSP00000438326.1;ENSP00000441502.1,ORC4; ORC4; ORC4; ORC4; ORC4; ORC4; ORC4; ORC4,9142300
ENSP00000386731.1;ENSP00000264170.4;ENSP00000364928.2;ENSP00000484801.1;ENSP00000481930.1;ENSP00000401190.1;ENSP00000482009.1,ENSP00000386731.1;ENSP00000264170.4;ENSP00000364928.2,KYNU; KYNU; KYNU; KYNU; KYNU; KYNU; KYNU,8162400
ENSP00000264184.4;ENSP00000355562.2;ENSP00000264183.3;ENSP00000394663.1;ENSP00000391497.1;ENSP00000416063.2;ENSP00000420620.1,ENSP00000264184.4;ENSP00000355562.2;ENSP00000264183.3;ENSP00000394663.1;ENSP00000391497.1,ARID4B; ARID4B; ARID4B; ARID4B; ARID4B; ARID4B; ARID4B,2451800
ENSP00000264187.6;ENSP00000355554.3,ENSP00000264187.6;ENSP00000355554.3,NID1; NID1,1238300000
ENSP00000264192.3;ENSP00000394308.1;ENSP00000402771.1;ENSP00000402155.1;ENSP00000407205.2,ENSP00000264192.3;ENSP00000394308.1,CYTIP; CYTIP; CYTIP; CYTIP; CYTIP,0
ENSP00000264193.2;ENSP00000425880.1;ENSP00000424924.1,ENSP00000264193.2,NA; AC021660.3; CPOX,58607000
ENSP00000264198.3,ENSP00000264198.3,MUL1,2573900
ENSP00000264202.7;ENSP00000364286.1;ENSP00000401010.1,ENSP00000264202.7;ENSP00000364286.1;ENSP00000401010.1,CAPZB; CAPZB; CAPZB,1773200000
ENSP00000405088.2;ENSP00000264205.6;ENSP00000364028.6;ENSP00000388439.2;ENSP00000349581.4;ENSP00000436633.1;ENSP00000431856.1;ENSP00000432860.1,ENSP00000405088.2;ENSP00000264205.6;ENSP00000364028.6;ENSP00000388439.2;ENSP00000349581.4,ECE1; ECE1; ECE1; ECE1; ECE1; ECE1; ECE1; ECE1,22875000
ENSP00000264220.2;ENSP00000423781.1;ENSP00000425119.1,ENSP00000264220.2,PPAT; PPAT; PPAT,37719000
ENSP00000421096.1;ENSP00000264221.2;ENSP00000424053.1,ENSP00000421096.1;ENSP00000264221.2;ENSP00000424053.1,PAICS; PAICS; PAICS,149990000
ENSP00000423366.1;ENSP00000264229.6;ENSP00000444006.1;ENSP00000473672.1;ENSP00000486652.1,ENSP00000423366.1;ENSP00000264229.6;ENSP00000444006.1,CRACD; CRACD; CRACD; CRACD; CRACD,3254500
ENSP00000264230.4,ENSP00000264230.4,NOA1,3935600
ENSP00000418972.1;ENSP00000418116.1;ENSP00000264234.3;ENSP00000418597.1;ENSP00000418399.1,ENSP00000418972.1;ENSP00000418116.1;ENSP00000264234.3;ENSP00000418597.1,UPK1B; UPK1B; UPK1B; UPK1B; UPK1B,0
ENSP00000264245.4;ENSP00000418429.1,ENSP00000264245.4,ARHGAP31; ARHGAP31,1769900
ENSP00000373165.3;ENSP00000418364.1;ENSP00000264246.3,ENSP00000373165.3;ENSP00000418364.1;ENSP00000264246.3,CD80; CD80; CD80,1965200
ENSP00000387309.1;ENSP00000264249.3,ENSP00000387309.1;ENSP00000264249.3,CHST10; CHST10,4069600
ENSP00000264254.6;ENSP00000390585.1;ENSP00000413936.1,ENSP00000264254.6;ENSP00000390585.1,PDCL3; PDCL3; PDCL3,44276000
ENSP00000264255.3;ENSP00000387275.1;ENSP00000406388.1;ENSP00000386889.1;ENSP00000391046.2;ENSP00000402827.1,ENSP00000264255.3;ENSP00000387275.1;ENSP00000406388.1;ENSP00000386889.1,TXNDC9; TXNDC9; TXNDC9; TXNDC9; TXNDC9; TXNDC9,22528000
ENSP00000386681.1;ENSP00000264258.3,ENSP00000386681.1;ENSP00000264258.3,RPL31; RPL31,408940000
ENSP00000264265.3;ENSP00000419373.1,ENSP00000264265.3,LXN; LXN,195570000
ENSP00000264266.5;ENSP00000376560.4;ENSP00000484175.1;ENSP00000403117.2;ENSP00000419467.2;ENSP00000419281.2;ENSP00000417950.2;ENSP00000420816.1;ENSP00000417163.1,ENSP00000264266.5;ENSP00000376560.4;ENSP00000484175.1;ENSP00000403117.2;ENSP00000419467.2;ENSP00000419281.2;ENSP00000417950.2,MFSD1; MFSD1; MFSD1; MFSD1; MFSD1; MFSD1; MFSD1; MFSD1; MFSD1,4552700
ENSP00000376091.2;ENSP00000325722.7;ENSP00000264275.5;ENSP00000376094.4,ENSP00000376091.2;ENSP00000325722.7;ENSP00000264275.5;ENSP00000376094.4,CASP8; CASP8; CASP8; CASP8,0
ENSP00000264276.6;ENSP00000403832.1;ENSP00000429223.1;ENSP00000386948.1;ENSP00000386384.2,ENSP00000264276.6,ALS2; ALS2; ALS2; ALS2; ALS2,312140
ENSP00000264279.5;ENSP00000388126.1;ENSP00000388905.1,ENSP00000264279.5,NOP58; NOP58; NOP58,183220000
ENSP00000423909.2;ENSP00000423002.1;ENSP00000370882.3;ENSP00000264312.7;ENSP00000416943.2;ENSP00000399656.2;ENSP00000426386.1;ENSP00000427389.1;ENSP00000379725.2;ENSP00000424041.1;ENSP00000425356.1;ENSP00000425633.1;ENSP00000420917.1;ENSP00000423381.1;ENSP00000423845.1;ENSP00000422171.1;ENSP00000426902.1;ENSP00000424252.1;ENSP00000421572.1;ENSP00000427363.1;ENSP00000423126.2;ENSP00000425968.1;ENSP00000420881.1;ENSP00000421582.1,ENSP00000423909.2;ENSP00000423002.1;ENSP00000370882.3;ENSP00000264312.7;ENSP00000416943.2;ENSP00000399656.2;ENSP00000426386.1;ENSP00000427389.1;ENSP00000379725.2;ENSP00000424041.1;ENSP00000425356.1,OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1; OCIAD1,283520000
ENSP00000264313.5;ENSP00000425923.1;ENSP00000424473.1;ENSP00000426744.1,ENSP00000264313.5;ENSP00000425923.1,SLAIN2; SLAIN2; SLAIN2; SLAIN2,6776900
ENSP00000487356.1;ENSP00000264335.8;ENSP00000486352.1;ENSP00000461766.1;ENSP00000487508.1;ENSP00000460712.1;ENSP00000486697.1;ENSP00000458386.1,ENSP00000487356.1;ENSP00000264335.8,YWHAE; YWHAE; YWHAE; YWHAE; YWHAE; YWHAE; YWHAE; YWHAE,4651400000
ENSP00000264344.5;ENSP00000423252.1;ENSP00000427189.1;ENSP00000421562.1;ENSP00000421914.1;ENSP00000378450.2;ENSP00000427077.1;ENSP00000426517.1;ENSP00000423800.1;ENSP00000425784.1;ENSP00000422345.1,ENSP00000264344.5;ENSP00000423252.1;ENSP00000427189.1;ENSP00000421562.1;ENSP00000421914.1;ENSP00000378450.2,FAM13A; FAM13A; FAM13A; FAM13A; FAM13A; FAM13A; FAM13A; FAM13A; FAM13A; FAM13A; FAM13A,601770
ENSP00000385684.1;ENSP00000264345.3;ENSP00000384005.1;ENSP00000421021.1;ENSP00000406210.1;ENSP00000389991.1;ENSP00000405863.1;ENSP00000424786.1;ENSP00000410029.1;ENSP00000425060.1,ENSP00000385684.1;ENSP00000264345.3,HERC3; HERC3; HERC3; AC098582.1; HERC3; HERC3; HERC3; NA; HERC3; HERC6,304250
ENSP00000264346.7;ENSP00000369617.5;ENSP00000273960.4,ENSP00000264346.7;ENSP00000369617.5;ENSP00000273960.4,HERC6; HERC6; HERC6,0
ENSP00000264350.3,ENSP00000264350.3,HERC5,0
ENSP00000264360.4;ENSP00000480512.1,ENSP00000264360.4;ENSP00000480512.1,PCDH10; PCDH10,0
ENSP00000264366.6;ENSP00000421011.1;ENSP00000482888.1;ENSP00000422900.1;ENSP00000425775.1,ENSP00000264366.6,ANK2; ANK2; ANK2; NA; ANK2,1823300
ENSP00000363536.3;ENSP00000264377.3,ENSP00000363536.3;ENSP00000264377.3,ADAM23; ADAM23,3213800
ENSP00000264380.4;ENSP00000376038.3;ENSP00000308715.6;ENSP00000384356.1;ENSP00000407692.1;ENSP00000414477.1,ENSP00000264380.4,PIKFYVE; PIKFYVE; PIKFYVE; PIKFYVE; PIKFYVE; PIKFYVE,1232100
ENSP00000264381.3;ENSP00000419505.1;ENSP00000419804.1;ENSP00000418325.1;ENSP00000418504.1,ENSP00000264381.3;ENSP00000419505.1;ENSP00000419804.1,BCHE; BCHE; BCHE; BCHE; BCHE,29577000
ENSP00000264382.3,ENSP00000264382.3,SI,9614100
ENSP00000264389.2;ENSP00000424791.1;ENSP00000424655.1;ENSP00000425976.1;ENSP00000425486.1;ENSP00000426788.1,ENSP00000264389.2;ENSP00000424791.1;ENSP00000424655.1;ENSP00000425976.1;ENSP00000425486.1,COPS4; COPS4; COPS4; COPS4; COPS4; COPS4,209690000
ENSP00000378945.1;ENSP00000264399.1;ENSP00000486129.1;ENSP00000439967.1,ENSP00000378945.1;ENSP00000264399.1;ENSP00000486129.1,PRKG2; PRKG2; PRKG2; PRKG2,734420
