Protein.IDs,Majority.protein.IDs,gene,rectum
ENSP00000438209.1;ENSP00000340799.2,ENSP00000438209.1;ENSP00000340799.2,SP6; SP6,0
ENSP00000340800.7;ENSP00000462036.1,ENSP00000340800.7;ENSP00000462036.1,TLK2; TLK2,216320000
ENSP00000340815.7;ENSP00000442135.1,ENSP00000340815.7,SLC3A2; SLC3A2,92648000
ENSP00000340823.6,ENSP00000340823.6,GTF2F2,10581000
ENSP00000340836.6,ENSP00000340836.6,OSTF1,195990000
ENSP00000463922.1;ENSP00000463108.1;ENSP00000463008.1;ENSP00000462990.1;ENSP00000462481.2;ENSP00000376240.2;ENSP00000343230.4;ENSP00000340864.2,ENSP00000463922.1;ENSP00000463108.1;ENSP00000463008.1;ENSP00000462990.1;ENSP00000462481.2;ENSP00000376240.2;ENSP00000343230.4;ENSP00000340864.2,C1QTNF1; C1QTNF1; C1QTNF1; C1QTNF1; C1QTNF1; C1QTNF1; C1QTNF1; C1QTNF1,0
ENSP00000340874.5,ENSP00000340874.5,MEF2C,0
ENSP00000371469.2;ENSP00000340879.4,ENSP00000371469.2;ENSP00000340879.4,RAD1; RAD1,222710
ENSP00000340887.6,ENSP00000340887.6,C5orf47,0
ENSP00000416586.1;ENSP00000362929.2;ENSP00000362914.2;ENSP00000340888.2;ENSP00000404226.1,ENSP00000416586.1;ENSP00000362929.2;ENSP00000362914.2;ENSP00000340888.2,NA; GSN; GSN; NA; GSN,1157600000
ENSP00000401828.3;ENSP00000368715.3;ENSP00000340889.4;ENSP00000354280.5;ENSP00000401249.1,ENSP00000401828.3;ENSP00000368715.3;ENSP00000340889.4;ENSP00000354280.5,PRSS3; PRSS3; PRSS3; PRSS3; PRSS3,12625000
ENSP00000340900.5;ENSP00000355062.3;ENSP00000345866.7;ENSP00000341348.1;ENSP00000396598.1,ENSP00000340900.5;ENSP00000355062.3,MIA3; MIA3; MIA3; NA; NA,27019000
ENSP00000353687.4;ENSP00000340913.3;ENSP00000343672.4;ENSP00000435574.1,ENSP00000353687.4;ENSP00000340913.3;ENSP00000343672.4;ENSP00000435574.1,TRPC6; TRPC6; TRPC6; TRPC6,0
